,Text,Labels
10,This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.  This is a Starbucks to grab and go and continue your shopping at the Waterfront.\n\nBaristas are friendly and fast.,1
11,"As far as Starbucks go, this is a pretty nice one.  The baristas are friendly and while I was here, a lot of regulars must have come in, because they bantered away with almost everyone.  The bathroom was clean and well maintained and the trash wasn't overflowing in the canisters around the store.  The pastries looked fresh, but I didn't partake.  The noise level was also at a nice working level - not too loud, music just barely audible.\n\nI do wish there was more seating.  It is nice that this location has a counter at the end of the bar for sole workers, but it doesn't replace more tables.  I'm sure this isn't as much of a problem in the summer when there's the space outside.\n\nThere was a treat receipt promo going on, but the barista didn't tell me about it, which I found odd.  Usually when they have promos like that going on, they ask everyone if they want their receipt to come back later in the day to claim whatever the offer is.  Today it was one of their new pastries for $1, I know in the summer they do $2 grande iced drinks with that morning's receipt.\n\nOverall, nice working or socializing environment.  Very friendly and inviting.  It's what I've come to expect from Starbucks, so points for consistency.",2
12,"I'm not a huge fan of this location. I think that it was oddly built- the small, alley-like front makes it difficult to get past people on your way to/from the bathroom or tables when it's busy. And there's hardly any tables to sit at. Furthermore, people tend to clog the front on their way in, which makes things particularly difficult (especially in the winter weather). The staff were pretty impersonal to be, but maybe that was due to the high traffic of the place and the time I was there. And the coffee that I had was cold- I'm sure it was probably the bottom of the batch. I'd probably only walk in here again if someone else suggested it before or after a movie or while we were shopping in the area.",1
13,"This Starbucks is 5-Star Friendly. The shift supervisor Lucious keeps the energy in there moving and light. He recently helped me with a merchandise return and embodied everything a good manager and all around mensch person should - patience, kindness, generosity and fairness. I left that afternoon loving Starbucks even more than when I went in. It's great that a company and their employees can be as loyal to their customers as their customers are to them.",4
14,"For someone who straddles the line between sometimes craft-er, this store can seem vast and confusing.  There's rows and rows of baskets and bedazzling jewels and paper and...oh my...scrap booking!  When I want to find boring old felt....it's like...where do I start?  \n\nI'm in a hurry, as always, and I rush in and the first thing I look for is an employee.  No one to be found.  I could call out and my voice would come echoing back.  I run between rows of paper, wood and gosh darn scrap booking....no felt!  Where do I find felt!  Where do I find an employee!?\n\nFINALLY, I find one after 15 minutes of wondering around.  She's incredibly nice and leads me to the felt.  This is not the first time I've been hard up to find help.  I tell her she was hard to find, and she tells me that they're \""low on payroll\"" and can't have any one the floor BUT HER!  In that WHOLE store, JUST HER!  That's ridic!\n\nNot a month ago I was, again, in a slight hurry and stood in line for about 15 minutes to check out, with 2 employees at the register and 6 people per line, I gave up and walked out.  \n\nHey Michael, do you pick up what I'm putting down?  You're not making any money because your costumer service SUCKS....in fact, there's no service to be found!",1
15,"I have been frequently shopping at this Michaels store over the last couple months since I began taking a cake decorating class and hosted a large baby shower at my home. The store has typically had the supplies that I need from cake and cupcake baking and icing to scrap booking supplies. This location is pretty average compared to other Michaels - it's exactly what you would expect when going to this store. It's not a large store, but it's not a small store -- just average.\n\nI do enjoy using the Michael's coupons when shopping. I definitely save a lot of money! Instead of toting around the paper versions, I actually have the iPhone app that has coupons available to use from the app. \n\nMy only complaint is that sometimes it takes a while to check out at this location. I don't normally have a problem - usually only one or two people ahead of me - but sometimes it can be much slower. Today, for example, there were only two customers ahead of me, but one of them was having issues with a coupon. The line began to get longer and longer, and though a couple associates were lingering up front, they kept calling for someone else. From personal experience of being a manger in a retail store, do not linger or let your associates linger near the cashiers without jumping on register. Whatever the reason may be that you are not helping customers, it still appears rude and make everyone more impatient....",2
16,"The one good thing I can say about Michael's is that they have a wide variety of hobbies and crafts included in their selection. They've got items for woodwork, painting, knitting, kids crafts, scrapbooks, you name it. The problem is, the variety of products for your particular craft is probably dismal. They've got lots of cool items all over the store that you're convinced that somehow you need. (Because it is soooo cute, and you could TOTALLY do something with it. Right..?) The store feels cluttered because there is so much stuff everywhere. However, if you're looking for something specific, good luck. It's not even a matter of the product being difficult to find in the store. It's that when you find the right section, there's either nothing in stock, or they simply don't even carry what you need. \n\nI stopped in for crochet supplies, and the yarn selection was laughable compared to many other craft stores. I ended up going elsewhere for my stuff anyway. \n\nPlus the prices at Michael's are significantly more than other area craft stores. I usually only stop there if I'm already at tend Waterfront. I'd recommend checking other craft stores first. Unless you need glitter. Especially fine glitter. Michael's has the best glitter selection/quality of any store I've ever been to.",1
17,"Its clean, open 24/7 with hot shoe string fries and creative milkshakes. What else do you want in life??",2
18,"This is the absolute WORST Steak N Shake I've ever been to. \n\nThe bf and I got lost around Pittsburgh for 40 min. trying to find this location and on top of the unnecessary 1 hour wait for our food, the food itself was just so crappily made. It was so bad and we had waited a ridiculous amount of time (c'mon, Steak N Shake is basically a glorified McD's), our waiter comped our WHOLE MEAL.\n\nIf not for the compensation, I would have been pissed that we had to pay for such a crappy meal. The bf, on the other hand, was more upset about the principle of the matter... we had trekked all that way just to get our Steak N Shake fix (since both of us haven't had it since our undergraduate days) and it was a major fail.\n\nI think I'm good with my Steak N Shake craving for a long time now...\n\n\n\nPS. The whole joint smells like major B.O.",0
19,"I went here at 3 PM between the lunch rush and the dinner rush, and the restaurant was maybe 20% full. I ordered the Chili Mac Supreme to go. I thought I would be in and out within 5-10 minutes. Keep in mind that this restaurant even has a drive-thru; the expectation is quick service.\n\nLong story short, my food never came... the waitress told me (after I had been sitting there waiting for thirty minutes) that the kitchen hadn't even started on my order yet, so I told her to cancel it and walked out. Now I see that others on Yelp have warned about the slow service at this location. Wish I had looked it up earlier.",0
20,"Well... as Steak 'n Shake locations go, this isn't the best one around--but it is burgers and fries that are open 24-7.\n\nThe milkshakes are good!\n\nPROS: \nAlways made fresh, when you order;\n\nCONS:\nGreasy (but its burgers);\nTakes longer than typical in drive thru (but that's bc they're made fresh!);\nService (on a scale of 1-10, 10 being awesome) is a 4.",1
21,"In general I do like Shake N' Steak, but this location is a hit or miss location!  You never know what kind of quality or service you're going to find here.  A friend and myself went a few weeks back after a movie and it had to be one of the worst trips there EVER!  You can't entirely blame the waitress since she was the only one there for the entire place...poor scheduling on the manager's part. However, while she can't be accountable for the slooooow service, she was accountable for both orders being incorrect.  The burgers were over cooked and the fries were soggie and the milkshake was runny at best...\n\nBy far my worst visit to Steak n' Shake!",1
22,"Rather typical SnS.  Had a good lunch crowd.  Milkshake was good but not as good as EnP down the street.  It took to long to get the burger for some reason, 25 minutes, I realized cooked to order but this is a little long for SnS.  Ordered the Guacamole Steakburger and it only had a small portion of Gauc...not your usual amount..kitchen was not up to speed on portion sizing for some reason.  Definitely did not look like the picture on the website.  Oh well!",1
23,"Ah, Steak n Shake, you hit the spot after a night of drinking. Open 24 hours, drive thru or dine in, with wonderful, cheap greasy burgers, chicken fingers, breakfast sandwiches, and shoestring fries. You're faster (and cheaper!) than Eat N Park. Plus your employees wear those adorable bow ties. Granted, if we were at a fancy party, I might act like I don't know you, but deep down inside you know I heart you.",2
24,The only thing worse than the food is the service.,0
25,"Terrible wait staff  couldn't even seat us. Before we, and another party walked out without even being greeted properly, I observed several employees traipse out the front door, several tables who were waiting for their food for a long time,  several employees just standing around out of direct view of the tables, a morbidly obese hostess that could barely physically walk from one end of the store to the other. I think one server was high. \n  \n  Going there was a  special request by a 7 year old getting over a long-ish illness, so that makes the shabby treatment more enraging.",0
26,This place is s l o w....like so slow I have got up and left after waiting 30 minutes and not even being acknowledged by a server. The food is okay. Def not worth the wait. Milkshakes are just okay as well. Booooooo.,1
27,I really like the chili. Burgers are fair and salads are pretty bad. Pretty hard to mess up a side salad. As others have said you never know what kind of service you will get. Store is usually understaffed and cleanliness is fair. The staff is usually disinterested with customers and sometimes outright rude. All in all what you pay is what you get. Cheap and crap service.,1
28,"Fast food done right, what more can you want?\n\nA throwback to old timey diners, steak and shake is where you get a decent meal at a good price. \n\nMy sisters and I arrived on a Tuesday afternoon around 3pm catching their 2-4 happy hour, which we read on the door upon entry; a lovely surprise. This meant that all shakes and drinks were 50% off! \n\nI ordered the western BBQ burger, which was 2 thin patties, cheese, bacon, BBQ sauce, and fried onions. It came with shoe string fries (my favorite), all for the low price of $4.79. Are you kidding me? What's not to like! The food was actually pretty good! I liked it a lot. Since it was happy hour I also \""splurged\"" on a chocolate covered strawberry shake. It was meh. Could have gone without it. The overpowering taste of artificial strawberry really turned me off, but the hot fudge saved it. But, how can you really go wrong with hot fudge?\n\nAll in all, 3 meals and 3 shakes came to $20. A steal. Also the food is good! I enjoyed it. I'd come back.",2
29,Fast food in a resturant setting.  Considering this food is good and cheap plus you can get food to go.  Must be a reason why this place is always packed.,3
30,"The food is good. Unfortunately the service is very hit or miss. The main issue seems to be with the kitchen, the waiters and waitresses are often very apologetic for the long waits and it's pretty obvious that some of them avoid the tables after taking the initial order to avoid hearing complaints.",1
31,"Food is good, what you'd expect from Steak n Shake. THE SERVICE IS AWFUL. so incredibly awful. expect to take at least an hour for your meal, even when it's slow. I've been going here for years when I want a cheap meal, but the service is so so so awful. Go to McDonalds.",0
32,"The service was fast but the food was terrible and so was the service. I had a bus to catch so I couldn't wait around waiting for the check so I went to the counter to pay. She never brought my check, never checked to see if my drink needed refilled, she just mopped the floors. \n\nThe burger was really greasy, the fries were Luke warm and the cheese on them wasn't as flavorful as it should be. As a new Pittsburgher I'm not impressed.",0
33,"I should have known better than to stop here, but I was nursing a hangover and just wanted something quick and simple.  I should kick myself for thinking of this place.\n\nGranted I decided to go to the drive thru and knew there would be a wait.  The sign actually says that the food is prepared when you order it.  I sat for almost ten minutes at the window while my food was prepared.  During that time I wished I could have taken back my order and also wished that I hadn't paid already.  \n\nWhile sitting at the window I decided to just stare inside and watch some of the employees doing their job.  What disturbed me the most was watching the employee making the milkshakes.  Making a milkshake isn't that hard or glamorous of a thing to watch.  What disgusted me was that the guy actually lifted several of the containers for the milkshakes and smelt them.  I mean smelt them to see if they were clean, instead of actually taking the extra minute or two to clean the container.  After witnessing this my food was finally ready and I drove away.\n\nWhen I finally got to eating my food I was underwhelmed.  The fries had no flavor and with the size of the cut it appears you get more than what you ordered.  The \""steakburger\"" really, they should just call it a burger, was overpowered by the BBQ sauce on it.  It was all I could taste.\n\nAll this has cemented me in not wanting to ever step foot in one of these establishments ever again.",0
34,"Burgers are not the best quality. Better than McDonald's but not much better. The fries are fairly thin, but crispy. They aren't bad. The prices are also quite decent. However, their shakes are amazing. Thick and creamy. It's also great that they have half off shakes on weekdays in the early morning like 1-3am.",2
35,"You know what you're getting with a Steak N Shake: it's about one rung up from a McD's in quality, and about two rungs down in quickness. At least, you think you know. \n\nI used to have a small place in my heart (though the salt and fat weren't very kind to said organ) for Steak N Shake, because hey, who can argue with beef and drinkable ice cream? But after my last trip, I can think of nothing more disgusting than having to eat here, this location in particular. I haven't been back in over year, and I will never step foot into a Steak N Shake as long as I have an immune system that I care about. \n\nAfter having eaten here, I hit the restroom on my way out (along with my two friends....hey, we're girls, it's acceptable!). One stall was already taken, so two of us are stuck waiting while this occupant does her....shall we say, business? After a few seconds, we realize that she's not only there to relieve herself, but to also take drive-through orders. Yes, that's right....\""You want fries with that? *flush* Okay, that will be $5.50\"". I have never, ever witnessed anything so insane as a drive-through restroom. To top it off, after finishing her \""bathroom break\"", she walks straight out of the stall and into the restaurant. I guess she was in too much of a rush to complete the order she had just taken that she didn't have time to wash her hands. And I was in too much of a rush to choke back up what I had just eaten before it wreaked mayhem on my stomach.",0
36,"I love Steak N Shake. This one, however, leaves a lot to be desired. The food often comes out cold and the servers are apathetic at best. Most of the time, they're downright rude. I highly recommend avoiding this location if possible. There's one on Route 51 that's worth the 15 minutes it'll take you to get there.",0
37,"Every time we come here the service is laughably bad. On this visit a tabe which was sat after us had their food before our server graced us with her surly presence. Good restaurant elsewhere, just avoid this location if you want to get your food inside an hour.",0
38,"Wow. Dirty and slow.  The floors felt like they had the days burger grease spilled all over, and it took 30 m8n to get our take out order.",0
39,"This place teeters between a 2 and a 3 star review.  I've had pretty good experiences inside, it's usually the drive-thru where things fall a part.  \n\nIt's the rare place I can get a Frisco Melt well, the ONLY place I can get a Frisco Melt!  and that steak burger alone is worth the risk, Walk In OR Drive Thru.\n\nJust take a gun on Weekends, you'll be fine.",1
40,"This location is terrible. The drive-thru workers are rude and they give you crap food. I waited 5 minutes before being able to order, even when there was only 1 car ahead of me. Then the lady proceeded to ask me if I would like anything on my burger, and (thinking the pictures on the menu are what they're supposed to look like and they would never false advertise) I asked \""doesn't it come with the fixings like in the picture?\"" she then told me it only comes with cheese. So I then went on to tell her what I wanted on my burger. Pulled around and got my order pretty quick, but later when I open my burger its just meat and cheese. The meat is badly burned and cold. It was clear to me this burger was not fresh. I didn't even attempt to eat it, what a waste of a place. They definitely need better workers.",0
41,"Steak 'n Shake's food is pretty good and the prices aren't bad for the quantity of food. I ordered a grilled chicken salad with no dressing. The salad looked thrown together and was $5.49 for 2 croutons, tomatoes, carrots, cabbage, lettuce and chicken breast. (They forgot the cheese!) The staff wasn't very friendly or helpful and seemed like they didn't want to be there. There usually is a long wait at Steak 'n Shake, but if you catch them when they aren't busy, you will breeze through- drive-thru that is. I do like their food and you can eat healthy options, but the staff isn't helpful and the quality isn't always there.",2
42,"Nice staff but apparently there is little manager oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my food being fourth on the \""to do\"" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.",1
43,"It's okay. Food is cheap but portions are small. For example I order the chicken tenders, and I got 3 little tiny tenders, and a decent amount of fries. Also the restaurant is not really clean either.  This restaurant is not my number 1 choice.",1
44,"As far as I'm concerned, Filene's Basement is good for two things: cheap dresses and cheap accessories.\r\n\r\nAs a young performer, I need good-looking dresses for frequent auditions -- and I need a couple, so I'm not wearing the same thing every time. The dresses on the second floor usually range from $30-60 and are good for over a year. It can be hard to find a full-length dress that's not reminiscent of a prom dress, but their selection of cocktail-length dresses is ample.\r\n\r\nAs far as accessories go, Filene's tends to have cheap versions of popular trends. If I feel the need to stock my wardrobe with a transient fad, Filene's is the place to go.",3
45,"Even when we didn't have a car Filene's Basement was worth the bus trip to the Waterfront. I always find something (usually I find 3-4 things and spend about $60) and better still, I am always still wearing the clothes and shoes 3 months later. \n\nI kind of suspect this is the best shopping in Pittsburgh; it's much better than the usual department stores, better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a sale. Selection, bargains AND quality.\n\nI like this Filene's better than Gabriel Brothers, which are harder to get to. Gabriel Brothers are a real discount shopper's challenge and I'm afraid I didn't live in Pittsburgh long enough to develop the necessary skills . . . Filene's was still up and running in June 2007 when I left town.",3
46,"Love this store!  Don't always have much luck with the sales, but I always find something I like here.  This isn't your average Marshall's or TJ Max.  I think the green dress I'm wearing is from Filene's!",4
47,Another store which has gone the way of the Dodo bird. Actually there was nothing basement like about it. What will be done with the empty space that is the question?,1
48,"$9.75 for a red bull and vodka? I'm sorry, I thought I was in Pittsburgh, not New York City. Sing Sing, a dueling piano bar, is fun, but it would be a hell of a lot more fun if I could have more than one watered down drink before I warbled my way through \""Paradise City\"" with the rest of the crowd.",1
49,"Really enjoyed this a lot more than I thought I would.  The drinks were on the pricey side, but I didn't head here to get smashed.",2
50,Had a great time at Sing Sing a while ago with friends.  Friendly staff.  Will return.,4
51,"In my opinion, Sing Sing is really not worth it. It gets expensive because you drink, maybe start to sing a few lyrics, drink some more, think of a song you wanna hear, put $5 and title of said song on a piece of paper, you drink, they play it, everyone else is trying to get their songs played so you put $10 on your next sticky note...and so on and so forth. I wasn't really into it when I first got there but as the night went on and lager went in I started to warm up to the place. I feel that if I have to drink in order to have a good time, it's not worth it. But again, that's just me.\n\nThe 2 stars are for the piano players, who are entertaining and very talented, and the Rock Bottom brews they serve.",1
52,"Dueling piano bars in Pittsburgh started at Station Square, and they died out. Then when the chain restaurant magnet \""waterfront\"" opened in 2000 the parent company of The Rock Bottom Breweries decided to open Sing Sing in back of The Brewery.\n\nWhen it first opened it was pretty cool. The very first house band could put on a show that led to standing ovations. I know, I was there. From Stairway to Heaven to Free Bird, Stayin' Alive to She's My Cherry Pie, Elton John to the Boss, they were amazing at sounding like the bands they were covering. Equally incredible were the obscure songs that audience members would shout out, songs only you though you knew, and they would effortlessly sing a good portion of the song, sounding like the band who's song they sung.\n\nBut today, Sing Sing seems like it's stuck in the early part of the 21st century. The whole dueling piano, shout out a song to stump the band, Sing us a song you're the piano man has run it's course. I don't hate Sing Sing, but I could never come here more than once a year. It's a been there, done that kind of place.",2
53,"Sing Sing is awesome!! Give a buck or more and they will play anything, and if they don't know it, they will search for who requested the song so they can do something else the person will enjoy! :) Great humor too!! :)",4
54,"What a great time!  This place was awesome!  I wish I lived right down the road, because I could see myself being a regular here.\n\nHonestly, these guys have got some talent, like real talent.  They can play the piano, sing, play guitar, and the drums.  Did I mention that they are all pretty hilarious, too.  I'd easily pay the $7 cover to get in here any day because it really is worth it.  \n\nI am sure I will be back in no time at all.  Next time, I am bringing a big group of friends.",4
55,"This place has gone significantly down hill.  I've gone to Sing Sing about once a year for the last 6 or 7 years.  When we started going there you couldn't get a seat unless you got there early.  It was always packed.  However, each year the crowd seems to get smaller and smaller.  Crowd is an important component of a piano bar due to the interactive nature of it all.  I was there last Saturday night (8/4/12) and there was about 20-30 people there.  Very slow and boring.  It appears the crowd is no longer allowed up on stage, taking a lot of the interactive fun out of what this place used to be.  This was likely my last time at Sing Sing.  Save your $7 and skip this place.  A real shame because this place was once a lot of fun.",1
56,"Went here for the first time this past weekend. Needless to say I'll be returning! It was a blast!!!\n\nIt was cheap to get in and since we got there a bit earlier we got a semi-good table. Though it was very annoying that people had reserved tables right up front and never showed up. WHAT IS WRONG WITH THESE PEOPLE?! Everything if you ask me! Seriously though if you're going to reserve a table, you better freaking go! \n\nI had no complaints about the place itself! The guys were hilarious and watching my brother get made fun of multiple times was just the cherry on top! Anddd this has to be the only place I've ever enjoyed being around people who were sloppy drunk, because the comedians take no prisoners! \n\nI did enjoy when Matt and Joey were the ones up there because they are just amazing and make it so much better! They are great at what they do. Can't wait to go back!",4
57,"Always a good time, although it's definitely not a place I would visit often. It's great for groups....which is quite obvious since there are always several folks there for bachelorette  parties and birthdays. \n\nShut out to the piano players, who can not only play the piano, but also sing, play the drums and the sax. They are funny and know how to keep a crowd entertained. Also know some pretty obscure songs. \n\nMy big criticism is the set up. If you don't have a reservation and/or come later in the evening, it's difficult to get seats. Believe me, I don't mind standing, but it does become a bit awkward when you have to keep scooting over to let waitresses and patrons past you. If you do find a seat, it is often littered with someone else's empty glasses.",3
58,"The musicians at this place work hard to entertain the crowd, so I can't say they are all bad.  However the minimum for a song request is $5.  I spent $20 on a song for my girlfriend and they NEVER played it!!  They were playing songs for $5 and $10, but my $40 got me no where.  Even if they didn't know the song, which I doubt, they could have picked one they knew and improvised,  my tip, save your $$ on the requests.\n\nOtherwise it's fun for special events every once in awhile.",2
59,"I went here with a bachelorette party. We had reservations, which was good because it was packed that Saturday night. The performers were very talented, but the acoustics were strangely off.   The theme that ran through the whole show was, to quote some phrases they kept repeating, \""you bitch, you slut, you whore\"" and  \""twinkle twinkle little slut, why don't you take it up the butt\"" which one of the pianists wrote on the mirror at the back of the stage... You get the idea?  Perhaps if I had not been the designated driver, alcohol would have made these jokes funny the fifth, sixth, seventh time. Or maybe not.",1
60,He was incredibly sexist/homophobic. He could barely play the piano and when we finally recognized a song we could actually dance to he literally asked me to get off stage because he didn't like another on stage who could actually dance with the girls.,0
61,"Pretty fun place to go every once in a while, but, believe me, by the end of the night you'll be ready to go. The show lasts around 5 hours, by the 3 hour mark you'll be sick of sitting there in the crowd with your $9 a pop drinks listening to the same dirty jokes over and over and over again.",2
62,"My best friend took me to Sing Sing for my bachelor party. I had a blast. The musicians (dueling pianists) made fun of me in a bunch of songs. They also were really good at playing requested tunes (rock). When the show was over we shuffled across the hall to the connected \""Rock Bottom\"" restaurant for some grub. We all had so much fun that we went back for my buddy's bachelor party.\n\nThere were some drawbacks though. We went on a Thursday night so the atmosphere was lacking as the place was pretty empty. And of course they are a little pushy soliciting tips when the place is empty. But it's not our fault the place is empty on Thirsty Thursday, if their drinks weren't so damn expensive maybe more people would show up. And sometimes they used vulgar language which was just unnecessary since they would have otherwise still been hilarious. Also there was no table service, and the only bartender was a bitch. I'll probably be back, but only for a special occasion when I can afford it.",2
63,"I usually have nothing but good things to say about this place. I've dealt with Fran and others and have had very good experiences. However, this time was very different. I called to find out how much they might charge to install some brakes and rotors that I had, i was reffered to Mark, the mechanic. I made the appointment with him for Tuesday Sept 30th, he quoted me between $179 - $200 for the work (though the first person I spoke to quoted $150-$179) and told me to bring it at 8am and it would be finished the same day.when I brought it on Tuesday, Septempber 30th at 8 am, Mark forgets that i even made the appointment with him (or didnt bother to make a note of it) saying, \""oh, I thought you were supposed to bring this by yesterday\"". He says I should expect this to probably be done before 3pm. \n\nI soon recieve a call from Mark at 10:25am, where he tells me the charge will actually be $240 (for four hours of labor + $13 worth of materials, before even getting started to see how long the job would actually take) and that the car would be ready by 3pm, if not possibly before that. Also for good measure he decides to randomly throw in, \""oh, and we don't take checks\"". \n\nThe next phone call is at 3:50pm to ask if i actually need to have the car back today, I tell Mark, \""yes, of course\"". (I was expecting to be ready by 3, if not before like he said) When I express that I definitely need it today, he says that he just has to finish this one side and it will be ready by 415. This leaves me with barely enough time to get a bus and get over there before they close at 430. Honestly if what he had to finish on my car could easily be completed between 3:50 and 4:15, i dont think he would bother asking if i still needed to have it that day. As a result I feel that he may have rushed something while putting my car back together, because now something feels slightly off with the feeling of how the cars is aligned or the way the car drifts at times.",1
64,"Typical, but new.  \n\nYou see all of the people that are walking in and out and, I must say, the customers look like they work for a living hear.  I swear one of the guys was covered head to toe in soot.  That is amazing.  \n\nRan around the store looking for those few items that I needed to satisfy my need to build and create.  Minimal help from the small quantities of employees, but some of them actually asked if I needed help -- after I had found the item.",2
